"train/global_step","indosum-unipelt-0 - _step","indosum-unipelt-0 - _step__MIN","indosum-unipelt-0 - _step__MAX","indosum-unipelt-0 - eval/rouge1","indosum-unipelt-0 - eval/rouge1__MIN","indosum-unipelt-0 - eval/rouge1__MAX","indosum-seq_bn-rf64-0 - _step","indosum-seq_bn-rf64-0 - _step__MIN","indosum-seq_bn-rf64-0 - _step__MAX","indosum-seq_bn-rf64-0 - eval/rouge1","indosum-seq_bn-rf64-0 - eval/rouge1__MIN","indosum-seq_bn-rf64-0 - eval/rouge1__MAX","indosum-seq_bn-rf16-0 - _step","indosum-seq_bn-rf16-0 - _step__MIN","indosum-seq_bn-rf16-0 - _step__MAX","indosum-seq_bn-rf16-0 - eval/rouge1","indosum-seq_bn-rf16-0 - eval/rouge1__MIN","indosum-seq_bn-rf16-0 - eval/rouge1__MAX","indosum-pt-pl50-0 - _step","indosum-pt-pl50-0 - _step__MIN","indosum-pt-pl50-0 - _step__MAX","indosum-pt-pl50-0 - eval/rouge1","indosum-pt-pl50-0 - eval/rouge1__MIN","indosum-pt-pl50-0 - eval/rouge1__MAX","indosum-pt-pl5-0 - _step","indosum-pt-pl5-0 - _step__MIN","indosum-pt-pl5-0 - _step__MAX","indosum-pt-pl5-0 - eval/rouge1","indosum-pt-pl5-0 - eval/rouge1__MIN","indosum-pt-pl5-0 - eval/rouge1__MAX","indosum-lora-r16-0 - _step","indosum-lora-r16-0 - _step__MIN","indosum-lora-r16-0 - _step__MAX","indosum-lora-r16-0 - eval/rouge1","indosum-lora-r16-0 - eval/rouge1__MIN","indosum-lora-r16-0 - eval/rouge1__MAX","indosum-lora-r8-0 - _step","indosum-lora-r8-0 - _step__MIN","indosum-lora-r8-0 - _step__MAX","indosum-lora-r8-0 - eval/rouge1","indosum-lora-r8-0 - eval/rouge1__MIN","indosum-lora-r8-0 - eval/rouge1__MAX","indosum-base-0 - _step","indosum-base-0 - _step__MIN","indosum-base-0 - _step__MAX","indosum-base-0 - eval/rouge1","indosum-base-0 - eval/rouge1__MIN","indosum-base-0 - eval/rouge1__MAX"
"892","1","1","1","5.9923","5.9923","5.9923","1","1","1","68.0586","68.0586","68.0586","1","1","1","70.368","70.368","70.368","1","1","1","55.0839","55.0839","55.0839","1","1","1","38.6954","38.6954","38.6954","1","1","1","71.3679","71.3679","71.3679","1","1","1","70.3236","70.3236","70.3236","1","1","1","67.4414","67.4414","67.4414"
"1784","3","3","3","8.2013","8.2013","8.2013","3","3","3","69.6096","69.6096","69.6096","3","3","3","71.3426","71.3426","71.3426","3","3","3","61.4245","61.4245","61.4245","3","3","3","43.9573","43.9573","43.9573","3","3","3","71.9204","71.9204","71.9204","3","3","3","70.7232","70.7232","70.7232","3","3","3","70.2138","70.2138","70.2138"
"2676","5","5","5","6.9869","6.9869","6.9869","5","5","5","70.498","70.498","70.498","5","5","5","71.6471","71.6471","71.6471","5","5","5","63.476","63.476","63.476","5","5","5","44.5846","44.5846","44.5846","5","5","5","72.0196","72.0196","72.0196","5","5","5","72.5246","72.5246","72.5246","5","5","5","71.2142","71.2142","71.2142"
"3568","7","7","7","5.9136","5.9136","5.9136","7","7","7","71.6759","71.6759","71.6759","7","7","7","72.695","72.695","72.695","7","7","7","65.7891","65.7891","65.7891","7","7","7","48.6507","48.6507","48.6507","7","7","7","72.454","72.454","72.454","7","7","7","72.7472","72.7472","72.7472","7","7","7","71.7114","71.7114","71.7114"
"4460","10","9","11","7.165749999999999","5.7938","8.5377","10","9","11","72.4034","72.0617","72.7451","10","9","11","73.2932","73.1452","73.4412","10","9","11","66.86685","66.4804","67.2533","10","9","11","52.17425","51.1569","53.1916","10","9","11","73.38560000000001","73.194","73.5772","10","9","11","73.518","73.3085","73.7275","10","9","11","72.69775","72.5364","72.8591"
