"train/global_step","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/overall_f1","Group: seq_bn-rf64 - eval/overall_f1__MIN","Group: seq_bn-rf64 - eval/overall_f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/overall_f1","Group: seq_bn-rf16 - eval/overall_f1__MIN","Group: seq_bn-rf16 - eval/overall_f1__MAX","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/overall_f1","Group: pt-pl50 - eval/overall_f1__MIN","Group: pt-pl50 - eval/overall_f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/overall_f1","Group: pt-pl5 - eval/overall_f1__MIN","Group: pt-pl5 - eval/overall_f1__MAX","Group: seq_bn - _step","Group: seq_bn - _step__MIN","Group: seq_bn - _step__MAX","Group: seq_bn - eval/overall_f1","Group: seq_bn - eval/overall_f1__MIN","Group: seq_bn - eval/overall_f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/overall_f1","Group: unipelt - eval/overall_f1__MIN","Group: unipelt - eval/overall_f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/overall_f1","Group: lora-r16 - eval/overall_f1__MIN","Group: lora-r16 - eval/overall_f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/overall_f1","Group: lora-r8 - eval/overall_f1__MIN","Group: lora-r8 - eval/overall_f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/overall_f1","Group: baseline - eval/overall_f1__MIN","Group: baseline - eval/overall_f1__MAX"
"3286","61","61","61","0.7956529781698048","0.7854251012145749","0.8058902275769746","61","61","61","0.8170665678415059","0.8095238095238095","0.8326300984528833","61","61","61","0.8261647364095603","0.8135135135135134","0.8376534788540246","61","61","61","0.8207451496277998","0.8070175438596492","0.827972027972028","61","61","61","0.8170665678415059","0.8095238095238095","0.8326300984528833","61","61","61","0.8246091861553498","0.8076923076923076","0.8333333333333334","61","61","61","0.8041169586128133","0.7911227154046998","0.817320703653586","61","61","61","0.7990961533663692","0.787878787878788","0.8070652173913044","61","61","61","0.8499715324360025","0.8372739916550764","0.8637015781922526"
"3392","63","63","63","0.798543430288242","0.7918918918918919","0.8123249299719888","63","63","63","0.8152797122040404","0.7989556135770235","0.8258426966292135","63","63","63","0.8242620650878048","0.81151832460733","0.8319327731092437","63","63","63","0.826719687626948","0.8146143437077131","0.8413597733711048","63","63","63","0.8152797122040404","0.7989556135770235","0.8258426966292135","63","63","63","0.8241572357094913","0.8095238095238096","0.8418156808803301","63","63","63","0.8075347126008385","0.7963683527885862","0.8257887517146778","63","63","63","0.7973108145310592","0.7854356306892067","0.803788903924222","63","63","63","0.8555781364172226","0.8387978142076504","0.880450070323488"
"3498","65","65","65","0.7982046588315305","0.7882037533512065","0.8083916083916084","65","65","65","0.8255139628363034","0.8209366391184572","0.8286516853932584","65","65","65","0.8283225095232869","0.8123324396782842","0.8428184281842819","65","65","65","0.8233206147073409","0.8129205921938089","0.8286099865047234","65","65","65","0.8255139628363034","0.8209366391184572","0.8286516853932584","65","65","65","0.8303895733530611","0.8049450549450551","0.8402203856749312","65","65","65","0.8095929860051587","0.8046875000000001","0.819538670284939","65","65","65","0.7989042925796316","0.7816993464052289","0.8100263852242744","65","65","65","0.8506581377302311","0.8368794326241135","0.8640226628895185"
"3604","67","67","67","0.8007971364738721","0.7909454061251664","0.8080536912751679","67","67","67","0.8211345817356493","0.8113207547169812","0.8366197183098592","67","67","67","0.8241230242012707","0.8100263852242744","0.8333333333333334","67","67","67","0.8239300863673813","0.8095872170439414","0.835408022130014","67","67","67","0.8211345817356493","0.8113207547169812","0.8366197183098592","67","67","67","0.8318147199772618","0.8125854993160055","0.8482384823848239","67","67","67","0.8066046256533601","0.799468791500664","0.8204419889502763","67","67","67","0.7947572798705989","0.7837483617300132","0.8031496062992126","67","67","67","0.854376421122623","0.8495821727019498","0.8622589531680441"
"3710","69","69","69","0.7951723084511548","0.7830687830687829","0.8121546961325966","69","69","69","0.8165209267636214","0.8010610079575596","0.8347338935574229","69","69","69","0.8228185603221577","0.8063660477453581","0.8409405255878284","69","69","69","0.8224564629901622","0.8101604278074866","0.8387096774193548","69","69","69","0.8165209267636214","0.8010610079575596","0.8347338935574229","69","69","69","0.823272263465768","0.8161073825503355","0.8283378746594006","69","69","69","0.8035259057401257","0.7989690721649485","0.8112449799196788","69","69","69","0.797233325957666","0.7890625","0.8031704095112285","69","69","69","0.8632011204536104","0.853185595567867","0.8700564971751412"
"3816","71","71","71","0.7992061132487072","0.7897574123989218","0.8111888111888111","71","71","71","0.8204738137546916","0.8110964332892999","0.8293370944992947","71","71","71","0.8280054881407487","0.8194070080862532","0.8347107438016529","71","71","71","0.8262626768673969","0.8179347826086957","0.8349514563106797","71","71","71","0.8204738137546916","0.8110964332892999","0.8293370944992947","71","71","71","0.831336729156491","0.8139860139860141","0.8458390177353343","71","71","71","0.804042042506208","0.7958387516254878","0.8153214774281805","71","71","71","0.799601913746556","0.78748370273794","0.8112449799196787","71","71","71","0.8592543399489898","0.8435754189944135","0.8668555240793201"
"3922","73","73","73","0.7972032133469045","0.7847769028871391","0.8044382801664354","73","73","73","0.8168272278427745","0.7973856209150326","0.840620592383639","73","73","73","0.8248569696104143","0.8093385214007783","0.8491620111731844","73","73","73","0.8266734314063386","0.8093994778067884","0.8447552447552447","73","73","73","0.8168272278427745","0.7973856209150326","0.840620592383639","73","73","73","0.8259094739390491","0.799475753604194","0.8439620081411127","73","73","73","0.8002076784481196","0.7852604828462516","0.8127490039840637","73","73","73","0.7915030000474882","0.7700127064803051","0.8068783068783069","73","73","73","0.8523436050306167","0.8435754189944135","0.8612303290414879"
"4028","75","75","75","0.803885490905261","0.7872340425531915","0.8131868131868132","75","75","75","0.8189335442299723","0.8090185676392573","0.8363636363636363","75","75","75","0.8308782594556915","0.8172043010752689","0.8543689320388349","75","75","75","0.8255510428877472","0.8176943699731902","0.8369565217391305","75","75","75","0.8189335442299723","0.8090185676392573","0.8363636363636363","75","75","75","0.833553755752444","0.8051209103840683","0.8523206751054854","75","75","75","0.8104943701906677","0.802124833997344","0.8192771084337348","75","75","75","0.7923660867100488","0.7831800262812089","0.8068783068783069","75","75","75","0.8505789407365472","0.8396094839609484","0.8607954545454546"
"4134","77","77","77","0.8067579932750857","0.7889182058047493","0.8123249299719889","77","77","77","0.8231517499033612","0.8158940397350992","0.8283378746594006","77","77","77","0.8262439463434976","0.8202247191011235","0.8317631224764468","77","77","77","0.8272531137112449","0.8152173913043478","0.8441926345609064","77","77","77","0.8231517499033612","0.8158940397350992","0.8283378746594006","77","77","77","0.8347166191450659","0.8161559888579387","0.8431105047748977","77","77","77","0.805717119881891","0.7958656330749354","0.8225806451612903","77","77","77","0.8007641445378146","0.7855297157622738","0.812760055478502","77","77","77","0.8530718452967386","0.8412483039348712","0.8724279835390947"
"4240","79","79","79","0.8074729871463386","0.8010752688172043","0.8117977528089888","79","79","79","0.818164054174497","0.8085676037483266","0.8330995792426368","79","79","79","0.8199970045980558","0.8149134487350199","0.8349514563106795","79","79","79","0.824264889185614","0.8162162162162162","0.8425531914893617","79","79","79","0.818164054174497","0.8085676037483266","0.8330995792426368","79","79","79","0.8273644806616849","0.7940780619111709","0.853625170998632","79","79","79","0.8120469485566227","0.7999999999999999","0.8211382113821138","79","79","79","0.8030156567243066","0.7848761408083441","0.8111702127659575","79","79","79","0.8517909581498667","0.8387096774193549","0.8698060941828255"
"4346","81","81","81","0.8082494770966525","0.7904509283819627","0.8208744710860366","81","81","81","0.8205866470570065","0.7958115183246073","0.8410689170182841","81","81","81","0.8282662757241479","0.8135593220338984","0.8419618528610354","81","81","81","0.8303186955329058","0.824","0.8377253814147018","81","81","81","0.8205866470570065","0.7958115183246073","0.8410689170182841","81","81","81","0.8346551960980758","0.8238482384823848","0.8505434782608695","81","81","81","0.8155045696579467","0.8036410923276982","0.8227334235453315","81","81","81","0.7977557437786468","0.7816993464052289","0.8084544253632759","81","81","81","0.8559518987582688","0.8415147265077138","0.8677685950413223"
"4452","83","83","83","0.8027683305915918","0.7861885790172644","0.8152327221438647","83","83","83","0.8220343574720147","0.8142076502732241","0.8377997179125528","83","83","83","0.8344656758860178","0.8232044198895028","0.8607242339832869","83","83","83","0.831644068158486","0.8266666666666667","0.8346883468834689","83","83","83","0.8220343574720147","0.8142076502732241","0.8377997179125528","83","83","83","0.8311267967409716","0.8134642356241235","0.8415300546448088","83","83","83","0.8143544286223794","0.8026143790849672","0.8236877523553163","83","83","83","0.797329619047567","0.7716129032258064","0.8121546961325967","83","83","83","0.8552809615397606","0.8375838926174496","0.8781869688385271"
"4558","85","85","85","0.8075993064350697","0.7967698519515478","0.8162692847124825","85","85","85","0.8221702216569906","0.8113975576662144","0.8455056179775281","85","85","85","0.8265640654031321","0.8068331143232589","0.8507042253521127","85","85","85","0.8305004023596864","0.8243064729194188","0.8410689170182841","85","85","85","0.8221702216569906","0.8113975576662144","0.8455056179775281","85","85","85","0.8297167094346409","0.8184357541899442","0.8362652232746954","85","85","85","0.8159654394118538","0.7978863936591809","0.8342541436464089","85","85","85","0.8016630382673723","0.7843137254901961","0.8095238095238096","85","85","85","0.8540669299434442","0.8391608391608392","0.8666666666666667"
"4664","87","87","87","0.8133644944344613","0.8053691275167785","0.8225806451612903","87","87","87","0.8232240014455849","0.8187919463087249","0.8310249307479224","87","87","87","0.8315935688643465","0.8213333333333334","0.8477366255144033","87","87","87","0.8300982620337212","0.8189189189189189","0.8337950138504154","87","87","87","0.8232240014455849","0.8187919463087249","0.8310249307479224","87","87","87","0.8367071430324444","0.8305555555555555","0.8432432432432433","87","87","87","0.8137692904754277","0.8060522696011004","0.8238482384823848","87","87","87","0.8003772849812958","0.7837483617300132","0.8154050464807437","87","87","87","0.8474601735085227","0.8356164383561644","0.8620199146514936"
"4770","89","89","89","0.8112949687756265","0.8037634408602151","0.8200836820083682","89","89","89","0.8193301181113339","0.8042328042328041","0.8310626702997275","89","89","89","0.8275367172911778","0.8216216216216216","0.8360215053763441","89","89","89","0.8318573192233458","0.8201634877384196","0.8373983739837397","89","89","89","0.8193301181113339","0.8042328042328041","0.8310626702997275","89","89","89","0.8310327191849302","0.8190743338008415","0.8462585034013606","89","89","89","0.814436799837717","0.7979139504563233","0.8249660786974219","89","89","89","0.8022646885933999","0.7942332896461337","0.8095872170439414","89","89","89","0.8529219031123519","0.8415300546448087","0.8684931506849316"
"4876","91","91","91","0.8162799667245109","0.8032128514056224","0.8251748251748251","91","91","91","0.8228030065025781","0.8165997322623829","0.8326300984528833","91","91","91","0.8303301781468099","0.8236914600550965","0.8342245989304813","91","91","91","0.8264645250987865","0.819047619047619","0.8349788434414668","91","91","91","0.8228030065025781","0.8165997322623829","0.8326300984528833","91","91","91","0.8274645353557528","0.8143053645116919","0.8396739130434784","91","91","91","0.8156861210488227","0.8068783068783069","0.8227334235453315","91","91","91","0.803352448517218","0.7857142857142856","0.8127490039840637","91","91","91","0.8466330247248809","0.8441379310344828","0.8521505376344086"
"4982","93","93","93","0.809079726033899","0.7999999999999999","0.8180574555403557","93","93","93","0.8189585607545371","0.8169398907103824","0.8258426966292135","93","93","93","0.8266397962833917","0.8178137651821862","0.8400556328233658","93","93","93","0.8247403897845673","0.81151832460733","0.8377997179125528","93","93","93","0.8189585607545371","0.8169398907103824","0.8258426966292135","93","93","93","0.8342710369802075","0.8263305322128851","0.8439620081411127","93","93","93","0.8125273748053162","0.805699481865285","0.8161073825503355","93","93","93","0.799155709120322","0.788036410923277","0.8120893561103809","93","93","93","0.8516304506895171","0.8353741496598639","0.8715728715728714"
"5088","95","95","95","0.811446591883939","0.803763440860215","0.8225352112676056","95","95","95","0.8217662170167724","0.8154050464807437","0.8389830508474576","95","95","95","0.8273606735605128","0.8172043010752688","0.8454172366621066","95","95","95","0.8262705699037449","0.8213333333333335","0.8387096774193548","95","95","95","0.8217662170167724","0.8154050464807437","0.8389830508474576","95","95","95","0.8326622260150451","0.823529411764706","0.8401084010840107","95","95","95","0.8103482383578531","0.7984395318595578","0.8168249660786975","95","95","95","0.8012723826263519","0.7939972714870397","0.8073394495412844","95","95","95","0.8487974036121203","0.8209959623149394","0.8659217877094972"
"5194","97","97","97","0.811751356139735","0.8021390374331551","0.8207282913165266","97","97","97","0.8252411721546862","0.8095872170439414","0.8398876404494382","97","97","97","0.830831490835895","0.8189189189189189","0.8413978494623655","97","97","97","0.830162635859147","0.8201634877384195","0.8367071524966261","97","97","97","0.8252411721546862","0.8095872170439414","0.8398876404494382","97","97","97","0.8352781252118223","0.8200836820083682","0.8461538461538463","97","97","97","0.8117446403550529","0.7973856209150327","0.8214765100671141","97","97","97","0.8039036582156174","0.7926509186351706","0.8125854993160054","97","97","97","0.847178643105995","0.834924965893588","0.8563458856345887"
"5300","99","99","99","0.8114956292752818","0.7989487516425756","0.8172942817294282","99","99","99","0.8230966459833686","0.8151147098515519","0.8312056737588652","99","99","99","0.8236059041015686","0.8149210903873746","0.8303448275862069","99","99","99","0.8270684476438259","0.8107344632768361","0.8495821727019498","99","99","99","0.8230966459833686","0.8151147098515519","0.8312056737588652","99","99","99","0.835928615523871","0.8228730822873082","0.8551724137931035","99","99","99","0.8136089178401296","0.8015665796344648","0.8269230769230769","99","99","99","0.7999490379720571","0.7916666666666666","0.8067226890756302","99","99","99","0.8506798718341514","0.838888888888889","0.8607594936708861"
"5406","101","101","101","0.8151063842560191","0.8079470198675496","0.8204419889502762","101","101","101","0.8254116405483248","0.808","0.841514726507714","101","101","101","0.8310633827914501","0.8125819134993448","0.8423988842398884","101","101","101","0.8302990138887646","0.8243243243243243","0.8397163120567377","101","101","101","0.8254116405483248","0.808","0.841514726507714","101","101","101","0.8411232591703502","0.812760055478502","0.856353591160221","101","101","101","0.8143268314847866","0.8026315789473685","0.8233695652173914","101","101","101","0.7996175659742358","0.7843137254901961","0.8084544253632759","101","101","101","0.8574095438158068","0.8445667125171938","0.8678720445062587"
"5512","103","103","103","0.8147542878652093","0.8032128514056224","0.8243430152143846","103","103","103","0.8239544020412186","0.8091397849462366","0.836021505376344","103","103","103","0.8279261475263116","0.8188105117565698","0.8454172366621066","103","103","103","0.8286634640358495","0.8153034300791556","0.844804318488529","103","103","103","0.8239544020412186","0.8091397849462366","0.836021505376344","103","103","103","0.839455058903295","0.8274894810659187","0.8486486486486486","103","103","103","0.8134356305726875","0.8010471204188482","0.8221024258760108","103","103","103","0.8033911496895664","0.7900912646675359","0.8170563961485557","103","103","103","0.8468956199146976","0.8313413014608234","0.855920114122682"
"5618","105","105","105","0.8125701775113136","0.7958115183246073","0.8230337078651686","105","105","105","0.8238024395360238","0.8068331143232589","0.8410689170182841","105","105","105","0.8282650351318503","0.8195876288659794","0.8335588633288227","105","105","105","0.8262875584742175","0.8125819134993448","0.836021505376344","105","105","105","0.8238024395360238","0.8068331143232589","0.8410689170182841","105","105","105","0.833714380429267","0.8169398907103824","0.8458390177353343","105","105","105","0.8069251381519725","0.788659793814433","0.8243243243243245","105","105","105","0.7957278773581992","0.7769230769230769","0.8033240997229917","105","105","105","0.8450636551157258","0.8340080971659919","0.8587731811697575"
"5724","107","107","107","0.8127668866491042","0.7978863936591809","0.8249336870026525","107","107","107","0.8205567210720968","0.8085676037483267","0.8398876404494382","107","107","107","0.8313308531732769","0.8170894526034712","0.8512396694214877","107","107","107","0.8236389173288327","0.811443433029909","0.8310991957104559","107","107","107","0.8205567210720968","0.8085676037483267","0.8398876404494382","107","107","107","0.8413716518424476","0.8263305322128851","0.848901098901099","107","107","107","0.8138458769664213","0.8010335917312662","0.8256130790190735","107","107","107","0.8005311143091358","0.7802340702210663","0.8137384412153236","107","107","107","0.8495224242845927","0.8406593406593406","0.8559440559440559"
"5830","109","109","109","0.8153029025889689","0.8069241011984021","0.82336578581363","109","109","109","0.8243034813935208","0.8015768725361366","0.8455056179775281","109","109","109","0.8293921767918949","0.8111702127659576","0.840381991814461","109","109","109","0.8269485378886061","0.8179347826086957","0.8337801608579088","109","109","109","0.8243034813935208","0.8015768725361366","0.8455056179775281","109","109","109","0.8352696037744766","0.8224043715846995","0.8485675306957708","109","109","109","0.8102083595556216","0.7942708333333333","0.8165517241379311","109","109","109","0.8008473758337056","0.7845161290322581","0.8114754098360656","109","109","109","0.8478194031658136","0.8296089385474861","0.8623087621696801"
"5936","111","111","111","0.814252017751109","0.8005284015852047","0.823529411764706","111","111","111","0.8208273203054681","0.8095238095238096","0.8338028169014083","111","111","111","0.8379137563233787","0.8335588633288228","0.8484005563282337","111","111","111","0.8306065123772418","0.8262653898768809","0.8413597733711048","111","111","111","0.8208273203054681","0.8095238095238096","0.8338028169014083","111","111","111","0.8383845891604184","0.8178025034770514","0.858321870701513","111","111","111","0.814680681357989","0.8005215123859191","0.8207934336525308","111","111","111","0.8014925757802223","0.7916666666666666","0.8132450331125827","111","111","111","0.851446572931161","0.8404993065187241","0.8670360110803323"
"6042","113","113","113","0.8152587969573215","0.8042609853528628","0.8211920529801325","113","113","113","0.8245994294651601","0.8185538881309686","0.8347338935574229","113","113","113","0.8313087812859111","0.8203753351206433","0.841225626740947","113","113","113","0.8297578948253946","0.8222222222222222","0.835820895522388","113","113","113","0.8245994294651601","0.8185538881309686","0.8347338935574229","113","113","113","0.8389204764401873","0.8225584594222835","0.8508891928864568","113","113","113","0.8135426426192428","0.7917205692108668","0.8273972602739725","113","113","113","0.805016369104316","0.788586251621271","0.8143053645116919","113","113","113","0.8526681783964026","0.846473029045643","0.8631284916201116"
"6148","115","115","115","0.8153450987606623","0.800531914893617","0.8263305322128851","115","115","115","0.822458142637039","0.8163265306122449","0.8372739916550764","115","115","115","0.8311469554483726","0.8246844319775597","0.839779005524862","115","115","115","0.8311947332089573","0.8245125348189415","0.8416666666666667","115","115","115","0.822458142637039","0.8163265306122449","0.8372739916550764","115","115","115","0.8328188262974875","0.8175388967468176","0.844566712517194","115","115","115","0.8178315698886387","0.8063660477453581","0.8233695652173914","115","115","115","0.8056703380909308","0.7926988265971318","0.8143053645116919","115","115","115","0.8484880300608033","0.8317631224764468","0.8623595505617977"
"6254","117","117","117","0.8163770001459074","0.8010610079575596","0.825","117","117","117","0.822503367510788","0.8186666666666668","0.8363636363636363","117","117","117","0.8278833439049598","0.8187919463087249","0.834924965893588","117","117","117","0.8304093122738075","0.8186666666666667","0.8385345997286295","117","117","117","0.822503367510788","0.8186666666666668","0.8363636363636363","117","117","117","0.8313232529031682","0.8149171270718231","0.8418156808803302","117","117","117","0.8138525741962386","0.8031496062992126","0.8238482384823848","117","117","117","0.8059970642355816","0.7994722955145119","0.8116710875331565","117","117","117","0.8534965919894161","0.8396739130434784","0.8653846153846154"
"6360","119","119","119","0.8149947022040311","0.8069705093833781","0.8208556149732621","119","119","119","0.8223301916377193","0.8169761273209548","0.8330995792426368","119","119","119","0.8352262912262702","0.8246844319775597","0.8500000000000001","119","119","119","0.8349540826398227","0.8273092369477911","0.8431372549019608","119","119","119","0.8223301916377193","0.8169761273209548","0.8330995792426368","119","119","119","0.8357216247471448","0.8163265306122449","0.8563611491108072","119","119","119","0.817437561591631","0.8121693121693121","0.8240109140518419","119","119","119","0.8054550810499077","0.7952755905511811","0.8153034300791556","119","119","119","0.851830791032425","0.841095890410959","0.8579234972677596"
"6466","121","121","121","0.8165845007860023","0.8042609853528628","0.8268456375838926","121","121","121","0.8234688294030365","0.816","0.8349788434414668","121","121","121","0.8305079635343633","0.8166189111747851","0.8411214953271029","121","121","121","0.8336261732601316","0.8222811671087533","0.8418156808803301","121","121","121","0.8234688294030365","0.816","0.8349788434414668","121","121","121","0.8407079906916067","0.8258426966292134","0.8506401137980085","121","121","121","0.8171398133584471","0.8073878627968336","0.827027027027027","121","121","121","0.806370445850025","0.7968337730870712","0.8153034300791556","121","121","121","0.856357467427736","0.849507735583685","0.8681948424068767"
"6572","123","123","123","0.8182346515217072","0.8079470198675496","0.8261474269819195","123","123","123","0.820058139370637","0.8150134048257373","0.8307692307692308","123","123","123","0.8290985344344503","0.8108108108108109","0.8466947960618846","123","123","123","0.8269441019001892","0.8224043715846995","0.8308921438082557","123","123","123","0.820058139370637","0.8150134048257373","0.8307692307692308","123","123","123","0.8374113663399297","0.8189415041782728","0.8587731811697575","123","123","123","0.8119343286923051","0.7956104252400549","0.823045267489712","123","123","123","0.8089311328043663","0.8015873015873016","0.8190224570673712","123","123","123","0.8521595739913833","0.8348993288590604","0.8717948717948717"
"6678","125","125","125","0.8177977458351868","0.8074866310160428","0.8257372654155497","125","125","125","0.8252645383335014","0.8195386702849389","0.8382559774964837","125","125","125","0.8318506842469706","0.8235294117647058","0.8458390177353343","125","125","125","0.8325552655404527","0.8218085106382977","0.8380187416331994","125","125","125","0.8252645383335014","0.8195386702849389","0.8382559774964837","125","125","125","0.832031640210069","0.8224043715846995","0.839506172839506","125","125","125","0.813409236258493","0.804177545691906","0.8273092369477911","125","125","125","0.8034145834896478","0.7937336814621411","0.814404432132964","125","125","125","0.8548768569485885","0.8451086956521738","0.8624113475177306"
"6784","127","127","127","0.8184602487565069","0.8144192256341789","0.8227334235453315","127","127","127","0.818780271553926","0.814516129032258","0.824468085106383","127","127","127","0.8370522981137452","0.8213333333333334","0.8539944903581267","127","127","127","0.8313616519735622","0.8230563002680965","0.8409703504043127","127","127","127","0.818780271553926","0.814516129032258","0.824468085106383","127","127","127","0.840448311662999","0.8212290502793296","0.8587257617728533","127","127","127","0.8174836442805493","0.8090185676392573","0.8266666666666665","127","127","127","0.8071554373807256","0.7951807228915664","0.8142292490118578","127","127","127","0.8563997418083007","0.8466757123473541","0.8627450980392156"
"6890","129","129","129","0.8156374136238437","0.8031704095112285","0.8277777777777778","129","129","129","0.8201848802503932","0.8149134487350199","0.8349514563106797","129","129","129","0.8248159630734543","0.8116710875331565","0.8354080221300137","129","129","129","0.836810317822445","0.8313090418353577","0.8443843031123139","129","129","129","0.8201848802503932","0.8149134487350199","0.8349514563106797","129","129","129","0.8390801288787756","0.8225584594222835","0.8535564853556485","129","129","129","0.8162578163418743","0.8079470198675496","0.8207171314741034","129","129","129","0.81044897332399","0.8026315789473685","0.8163804491413474","129","129","129","0.8524326137730801","0.8313090418353576","0.8639551192145861"
"6996","131","131","131","0.8167288270471408","0.8073878627968336","0.8274894810659188","131","131","131","0.823425424456735","0.8153034300791557","0.8349514563106797","131","131","131","0.8338444990109967","0.8217270194986072","0.8484848484848485","131","131","131","0.8336196325347169","0.8236842105263158","0.843441466854725","131","131","131","0.823425424456735","0.8153034300791557","0.8349514563106797","131","131","131","0.838950000181389","0.8244897959183674","0.8487394957983192","131","131","131","0.8162834758463792","0.8042049934296978","0.8286099865047233","131","131","131","0.8092786963205685","0.803788903924222","0.8184210526315788","131","131","131","0.8586564078915344","0.8523206751054851","0.8656294200848657"
"7102","133","133","133","0.8208957445540941","0.815114709851552","0.8302945301542777","133","133","133","0.8236100259309517","0.8117489986648865","0.8321775312066575","133","133","133","0.8327577412455962","0.8184357541899442","0.8527777777777777","133","133","133","0.8336217598826877","0.8232189973614775","0.8379120879120879","133","133","133","0.8236100259309517","0.8117489986648865","0.8321775312066575","133","133","133","0.8357538611922731","0.8185654008438819","0.8485675306957708","133","133","133","0.8215218156293125","0.8143236074270558","0.8267394270122784","133","133","133","0.8102877161958025","0.8038147138964578","0.8233731739707836","133","133","133","0.8528928074411892","0.8475033738191633","0.8583106267029972"
"7208","135","135","135","0.815444576156408","0.8100929614873836","0.826629680998613","135","135","135","0.8196279934041254","0.8047493403693932","0.8294036061026352","135","135","135","0.8280962673464005","0.8129205921938087","0.8379120879120879","135","135","135","0.827382325871261","0.8213333333333332","0.8370786516853933","135","135","135","0.8196279934041254","0.8047493403693932","0.8294036061026352","135","135","135","0.8375147682356321","0.8150208623087621","0.8551336146272854","135","135","135","0.817142988088904","0.814516129032258","0.8229027962716378","135","135","135","0.8078310055672405","0.7972972972972973","0.8207171314741034","135","135","135","0.853913379091142","0.841248303934871","0.8750000000000001"
"7314","137","137","137","0.8211957994750891","0.8097165991902835","0.8319327731092437","137","137","137","0.824736452422527","0.8138297872340426","0.8347338935574229","137","137","137","0.8361169305685194","0.8222523744911805","0.8479776847977685","137","137","137","0.8380733597760368","0.8324175824175823","0.8465753424657535","137","137","137","0.824736452422527","0.8138297872340426","0.8347338935574229","137","137","137","0.837962964652645","0.8148148148148148","0.8535911602209945","137","137","137","0.8195483081453678","0.8131578947368422","0.8310991957104559","137","137","137","0.8120298531783028","0.8063241106719368","0.8201058201058202","137","137","137","0.8557331969250372","0.8385345997286296","0.8758716875871689"
"7420","139","139","139","0.8206606743319537","0.8142076502732241","0.8255319148936171","139","139","139","0.8205381340425968","0.816","0.8250000000000001","139","139","139","0.8327120960937838","0.8212824010914053","0.8449931412894376","139","139","139","0.8355962101831688","0.8290013679890561","0.8403819918144612","139","139","139","0.8205381340425968","0.816","0.8250000000000001","139","139","139","0.8336373585733348","0.8123249299719888","0.8505434782608695","139","139","139","0.8179529826289015","0.814419225634179","0.8272108843537416","139","139","139","0.8075756321123155","0.7960893854748603","0.8196286472148541","139","139","139","0.856672009815602","0.8388888888888889","0.8750000000000001"
"7526","141","141","141","0.816118739794906","0.8042049934296976","0.8253521126760562","141","141","141","0.82068233774214","0.81151832460733","0.8375350140056023","141","141","141","0.8301041427203272","0.814621409921671","0.841225626740947","141","141","141","0.8334257588442145","0.8269484808454426","0.8426966292134831","141","141","141","0.82068233774214","0.81151832460733","0.8375350140056023","141","141","141","0.8316011868604092","0.8082758620689654","0.8412483039348712","141","141","141","0.8179979498982408","0.8099606815203145","0.8265582655826559","141","141","141","0.8108877838929859","0.804780876494024","0.8269484808454426","141","141","141","0.8600061312708226","0.8489010989010989","0.876595744680851"
"7632","143","143","143","0.8199372505559814","0.8102981029810298","0.8338028169014083","143","143","143","0.8230153132417655","0.8150134048257373","0.8385269121813032","143","143","143","0.8268566144874931","0.8167115902964959","0.8335625859697386","143","143","143","0.8353379367814453","0.8266666666666667","0.8410958904109589","143","143","143","0.8230153132417655","0.8150134048257373","0.8385269121813032","143","143","143","0.8358117965361661","0.8268156424581006","0.8449931412894376","143","143","143","0.8150075295615071","0.8068783068783069","0.8233695652173914","143","143","143","0.8107376168296977","0.8048780487804879","0.824631860776439","143","143","143","0.8624887391818383","0.8523676880222841","0.8753541076487252"
"7738","145","145","145","0.8166888434256367","0.8100929614873836","0.8243626062322946","145","145","145","0.8215830182914751","0.811320754716981","0.8387096774193548","145","145","145","0.8273359241847977","0.8186666666666668","0.8335664335664335","145","145","145","0.8315643507274861","0.8284518828451883","0.8342696629213484","145","145","145","0.8215830182914751","0.811320754716981","0.8387096774193548","145","145","145","0.8402669806294784","0.8240223463687151","0.8508891928864568","145","145","145","0.8156369155823378","0.8027777777777778","0.8241610738255033","145","145","145","0.8112016911561273","0.8074369189907038","0.820855614973262","145","145","145","0.8600956999199647","0.8485675306957708","0.8698060941828255"
