"train/global_step","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/overall_f1","Group: seq_bn-rf64 - eval/overall_f1__MIN","Group: seq_bn-rf64 - eval/overall_f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/overall_f1","Group: seq_bn-rf16 - eval/overall_f1__MIN","Group: seq_bn-rf16 - eval/overall_f1__MAX","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/overall_f1","Group: pt-pl50 - eval/overall_f1__MIN","Group: pt-pl50 - eval/overall_f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/overall_f1","Group: pt-pl5 - eval/overall_f1__MIN","Group: pt-pl5 - eval/overall_f1__MAX","Group: seq_bn - _step","Group: seq_bn - _step__MIN","Group: seq_bn - _step__MAX","Group: seq_bn - eval/overall_f1","Group: seq_bn - eval/overall_f1__MIN","Group: seq_bn - eval/overall_f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/overall_f1","Group: unipelt - eval/overall_f1__MIN","Group: unipelt - eval/overall_f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/overall_f1","Group: lora-r16 - eval/overall_f1__MIN","Group: lora-r16 - eval/overall_f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/overall_f1","Group: lora-r8 - eval/overall_f1__MIN","Group: lora-r8 - eval/overall_f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/overall_f1","Group: baseline - eval/overall_f1__MIN","Group: baseline - eval/overall_f1__MAX"
"1166","21","21","21","0.7068803637474593","0.690909090909091","0.7243675099866844","21","21","21","0.7815953989308602","0.7735849056603774","0.7928669410150891","21","21","21","0.8025497363671473","0.7952127659574467","0.8083989501312335","21","21","21","0.8060694840320192","0.7972789115646259","0.8133333333333334","21","21","21","0.7815953989308602","0.7735849056603774","0.7928669410150891","21","21","21","0.8027601889182762","0.7915006640106242","0.8115543328748279","21","21","21","0.7703432934488402","0.7614080834419819","0.7801047120418847","21","21","21","0.7375396924470902","0.7256857855361597","0.7526041666666667","21","21","21","0.8338878584384289","0.8077419354838709","0.8630705394190872"
"1272","23","23","23","0.7183103750973059","0.6983311938382541","0.7328859060402685","23","23","23","0.7856324566211093","0.7769028871391075","0.8016997167138811","23","23","23","0.8114999608550125","0.7917205692108668","0.825","23","23","23","0.8035904730877634","0.7953667953667953","0.8094575799721836","23","23","23","0.7856324566211093","0.7769028871391075","0.8016997167138811","23","23","23","0.8086137558662043","0.7906976744186047","0.8256624825662482","23","23","23","0.7776718043364419","0.7569620253164556","0.7918918918918918","23","23","23","0.7485381074745805","0.7322540473225404","0.7559055118110236","23","23","23","0.8387285483088857","0.8271092669432919","0.8485675306957708"
"1378","25","25","25","0.7306367541917816","0.716931216931217","0.7379679144385027","25","25","25","0.7960194983381763","0.7755644090305446","0.803894297635605","25","25","25","0.8220932116173373","0.8078947368421053","0.832876712328767","25","25","25","0.8148908024904422","0.8048452220726783","0.823529411764706","25","25","25","0.7960194983381763","0.7755644090305446","0.803894297635605","25","25","25","0.8200096569245519","0.8068783068783069","0.826629680998613","25","25","25","0.7782607146084248","0.766839378238342","0.7896174863387979","25","25","25","0.7570240874809944","0.7522464698331193","0.7608695652173912","25","25","25","0.841197020568521","0.8304405874499332","0.8506401137980085"
"1484","27","27","27","0.7406599692638893","0.7287234042553191","0.7510204081632653","27","27","27","0.7957797695005968","0.778833107191316","0.8158253751705321","27","27","27","0.8166833579894707","0.7978436657681941","0.8291316526610645","27","27","27","0.8111399776260132","0.8031290743155148","0.8240109140518419","27","27","27","0.7957797695005968","0.778833107191316","0.8158253751705321","27","27","27","0.8186897019563876","0.7984084880636605","0.8335625859697388","27","27","27","0.7805388360403043","0.7680608365019013","0.788770053475936","27","27","27","0.7625273486350872","0.7445997458703939","0.7789473684210526","27","27","27","0.8376129976609116","0.8248275862068966","0.8486486486486486"
"1590","29","29","29","0.7498856171518596","0.7443037974683544","0.7576601671309192","29","29","29","0.7988609275060962","0.7874015748031495","0.8044692737430166","29","29","29","0.815473445707385","0.8044382801664354","0.8232044198895028","29","29","29","0.8219782568732363","0.8176943699731902","0.8255659121171772","29","29","29","0.7988609275060962","0.7874015748031495","0.8044692737430166","29","29","29","0.8196734188626555","0.8129205921938089","0.8271954674220963","29","29","29","0.7870624002833572","0.7700127064803051","0.8066298342541437","29","29","29","0.7674822443220932","0.7455919395465995","0.778061224489796","29","29","29","0.8445220630017433","0.8243243243243243","0.8602442333785618"
"1696","31","31","31","0.7589353256332512","0.7513089005235603","0.7621696801112657","31","31","31","0.8019677293078029","0.787716955941255","0.8149171270718233","31","31","31","0.8103692523010965","0.803191489361702","0.8228882833787466","31","31","31","0.8155392370428899","0.8021390374331551","0.8277777777777778","31","31","31","0.8019677293078029","0.787716955941255","0.8149171270718233","31","31","31","0.8165649129245459","0.8086253369272238","0.8232118758434549","31","31","31","0.7864002159123699","0.7786458333333334","0.7955801104972376","31","31","31","0.7719236448727133","0.7570332480818415","0.7829457364341085","31","31","31","0.8487147268514963","0.8349514563106795","0.8559556786703602"
"1802","33","33","33","0.7581821443447783","0.7536231884057972","0.7616580310880829","33","33","33","0.805904761242858","0.7875507442489851","0.8193103448275862","33","33","33","0.8245941318278837","0.8197596795727637","0.8290013679890562","33","33","33","0.8179309373539361","0.814419225634179","0.8243243243243243","33","33","33","0.805904761242858","0.7875507442489851","0.8193103448275862","33","33","33","0.8143039602558219","0.80998613037448","0.8225584594222833","33","33","33","0.7853531770008724","0.7814910025706941","0.7925531914893617","33","33","33","0.7748039776858453","0.7557251908396947","0.7855297157622738","33","33","33","0.8383790047305617","0.8205841446453408","0.8563535911602209"
"1908","35","35","35","0.7626547647996513","0.7534246575342467","0.7752956636005257","35","35","35","0.803364159748703","0.7936507936507937","0.8176795580110496","35","35","35","0.8164557522469729","0.8067010309278351","0.8271092669432918","35","35","35","0.8137221988704116","0.8032564450474898","0.8212824010914053","35","35","35","0.803364159748703","0.7936507936507937","0.8176795580110496","35","35","35","0.8119726880847848","0.7911802853437095","0.8250000000000001","35","35","35","0.7894701391748693","0.7787839586028461","0.8","35","35","35","0.7759548724197114","0.7696267696267697","0.7839586028460543","35","35","35","0.8415675384259533","0.8217270194986072","0.8602442333785618"
"2014","37","37","37","0.7634200703849525","0.7564766839378239","0.7676240208877285","37","37","37","0.807427645537097","0.7999999999999999","0.8188105117565698","37","37","37","0.8242488653178874","0.8132450331125827","0.8413793103448276","37","37","37","0.8274623738778606","0.8258426966292135","0.8299319727891157","37","37","37","0.807427645537097","0.7999999999999999","0.8188105117565698","37","37","37","0.8268267681657179","0.8228882833787465","0.8296089385474861","37","37","37","0.7951603796906307","0.7819354838709679","0.8071135430916553","37","37","37","0.7823911644168562","0.764102564102564","0.7917808219178082","37","37","37","0.8496479497591191","0.8354080221300139","0.8599439775910364"
"2120","39","39","39","0.7687357637264635","0.7513227513227513","0.7760000000000001","39","39","39","0.8073822991520092","0.7962962962962963","0.8132450331125828","39","39","39","0.8187531187836198","0.8010752688172044","0.8335552596537948","39","39","39","0.8201362281847935","0.8138297872340426","0.8324324324324324","39","39","39","0.8073822991520092","0.7962962962962963","0.8132450331125828","39","39","39","0.8280003423723071","0.8186666666666667","0.8385269121813032","39","39","39","0.7910398301728236","0.7884362680683311","0.7953367875647667","39","39","39","0.7779453242652743","0.7640156453715775","0.7926988265971316","39","39","39","0.8411623446128162","0.8366197183098592","0.8475524475524475"
