"train/global_step","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/overall_f1","Group: pt-pl50 - eval/overall_f1__MIN","Group: pt-pl50 - eval/overall_f1__MAX","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/overall_f1","Group: seq_bn-rf64 - eval/overall_f1__MIN","Group: seq_bn-rf64 - eval/overall_f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/overall_f1","Group: seq_bn-rf16 - eval/overall_f1__MIN","Group: seq_bn-rf16 - eval/overall_f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/overall_f1","Group: pt-pl5 - eval/overall_f1__MIN","Group: pt-pl5 - eval/overall_f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/overall_f1","Group: unipelt - eval/overall_f1__MIN","Group: unipelt - eval/overall_f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/overall_f1","Group: lora-r16 - eval/overall_f1__MIN","Group: lora-r16 - eval/overall_f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/overall_f1","Group: lora-r8 - eval/overall_f1__MIN","Group: lora-r8 - eval/overall_f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/overall_f1","Group: baseline - eval/overall_f1__MIN","Group: baseline - eval/overall_f1__MAX"
"3456","71","71","71","0.933227538470131","0.929192546583851","0.94","71","71","71","0.9210518043950777","0.9079601990049752","0.9394313967861556","71","71","71","0.9329134209073058","0.9185185185185186","0.9577114427860698","71","71","71","0.9377233152819467","0.9261083743842363","0.9514321295143213","71","71","71","0.9415382490138284","0.9257425742574257","0.9583858764186632","71","71","71","0.9242801662107972","0.9082007343941249","0.9401496259351622","71","71","71","0.9197464807989346","0.9019607843137256","0.9328263624841572","71","71","71","0.9469322601754808","0.9394313967861558","0.9584905660377357"
"3552","73","73","73","0.9363917786950232","0.9333333333333333","0.94147582697201","73","73","73","0.9214425635795209","0.9109159347553324","0.9439601494396015","73","73","73","0.9314779473066302","0.9090909090909091","0.9625","73","73","73","0.9359477294088672","0.9263420724094882","0.9486858573216519","73","73","73","0.9433517202721944","0.934487021013597","0.9598997493734336","73","73","73","0.9249283591434192","0.9187192118226601","0.9328263624841572","73","73","73","0.924581909089514","0.9146341463414634","0.9314720812182741","73","73","73","0.9449878602933379","0.9353233830845771","0.96"
"3648","75","75","75","0.9390671772952442","0.9314720812182741","0.9463171036204745","75","75","75","0.9204561207214293","0.9058971141781682","0.9425","75","75","75","0.9348428045781173","0.924812030075188","0.9538077403245941","75","75","75","0.9335613158180097","0.9209876543209876","0.9438775510204082","75","75","75","0.9407698640541564","0.9282178217821783","0.9582806573957017","75","75","75","0.9237052511077749","0.9149198520345252","0.9313358302122346","75","75","75","0.922842519674645","0.9050554870530209","0.9321824907521579","75","75","75","0.9479145774095381","0.9395465994962218","0.9598997493734336"
"3744","77","77","77","0.9397748697760177","0.9341614906832298","0.9460476787954831","77","77","77","0.9236669757460986","0.91","0.945273631840796","77","77","77","0.9295071628852455","0.8966376089663761","0.9490683229813666","77","77","77","0.9388664237496915","0.9261083743842363","0.95","77","77","77","0.93798490125941","0.9267676767676768","0.9558638083228247","77","77","77","0.924646164063849","0.9063670411985019","0.9355246523388117","77","77","77","0.9178484459325468","0.9057527539779682","0.929889298892989","77","77","77","0.9455288496974072","0.9363295880149813","0.9620253164556962"
"3840","79","79","79","0.9358363703648959","0.9308176100628931","0.939877300613497","79","79","79","0.9242983384286845","0.9117647058823528","0.9475","79","79","79","0.9363392351596387","0.9149198520345253","0.9600997506234414","79","79","79","0.9382472099683212","0.9259259259259259","0.9515527950310558","79","79","79","0.9385288913382375","0.9181141439205955","0.9545454545454546","79","79","79","0.9251812250823759","0.9198520345252774","0.9309912170639899","79","79","79","0.9260471226729787","0.9124537607891491","0.9365482233502538","79","79","79","0.9431228734975251","0.9341614906832298","0.9584905660377357"
"3936","81","81","81","0.9395168880951499","0.9321824907521578","0.9461827284105131","81","81","81","0.9230155146723809","0.9134253450439147","0.9368029739776953","81","81","81","0.9308403342709675","0.9009900990099009","0.9564134495641344","81","81","81","0.9341167562219337","0.9236453201970444","0.9501246882793017","81","81","81","0.9405840107058469","0.9291925465838509","0.95","81","81","81","0.9257433699768948","0.9163545568039951","0.9402985074626866","81","81","81","0.9265199855527737","0.9108669108669109","0.9365482233502538","81","81","81","0.9463934931460104","0.9295426452410381","0.9674185463659147"
"4032","83","83","83","0.9425266091952238","0.9346733668341709","0.9525","83","83","83","0.9267215544176753","0.9155446756425949","0.95","83","83","83","0.9360554278038068","0.9251870324189527","0.9612015018773465","83","83","83","0.9387641637433497","0.9287531806615775","0.9489414694894147","83","83","83","0.9376579972340984","0.9290161892901618","0.9523809523809523","83","83","83","0.9289119601565143","0.9211822660098522","0.9416243654822335","83","83","83","0.9235564067121146","0.9070904645476773","0.9365482233502538","83","83","83","0.9464768843872357","0.93734335839599","0.9583858764186632"
"4128","85","85","85","0.9401764848231047","0.9343246592317225","0.949748743718593","85","85","85","0.9263332092006624","0.9177914110429448","0.9475","85","85","85","0.9365226140629437","0.925","0.957286432160804","85","85","85","0.9340609938952353","0.9268292682926829","0.9439601494396015","85","85","85","0.9394318551425378","0.927070457354759","0.9545454545454546","85","85","85","0.9252681416010079","0.9113607990012486","0.9341772151898734","85","85","85","0.9218264752438419","0.9093137254901962","0.9318463444857497","85","85","85","0.9475783940517793","0.9295426452410381","0.9633375474083439"
"4224","87","87","87","0.934910318708089","0.923469387755102","0.9447236180904522","87","87","87","0.9249309027453488","0.9153374233128834","0.9439601494396015","87","87","87","0.9372546379201303","0.927860696517413","0.9563046192259675","87","87","87","0.9291561387731248","0.9118387909319899","0.9451371571072318","87","87","87","0.9376276486414777","0.917705735660848","0.9596977329974811","87","87","87","0.9231993527107664","0.9099876695437732","0.9444444444444445","87","87","87","0.9237921864763565","0.9088669950738916","0.9388264669163546","87","87","87","0.9472088554999374","0.9382093316519546","0.962121212121212"
"4320","89","89","89","0.9360189627217534","0.9306431273644388","0.9461827284105131","89","89","89","0.9255114813465269","0.914572864321608","0.9438202247191011","89","89","89","0.9382559466393452","0.9289215686274509","0.958594730238394","89","89","89","0.9382714405612615","0.9286608260325407","0.9486858573216519","89","89","89","0.9384170102001622","0.9262899262899262","0.953341740226986","89","89","89","0.9287842260135136","0.9209876543209876","0.9390862944162437","89","89","89","0.9245916766022834","0.9077490774907748","0.9344870210135972","89","89","89","0.9429087010910397","0.9341772151898734","0.9518987341772152"
"4416","91","91","91","0.9336940788896962","0.9250317662007623","0.9446494464944649","91","91","91","0.9278194432004424","0.9202453987730063","0.946450809464508","91","91","91","0.9341181694657068","0.9225","0.9539227895392278","91","91","91","0.9373048598506359","0.9281210592686002","0.9503722084367245","91","91","91","0.9361592940833697","0.9167701863354037","0.9561952440550688","91","91","91","0.9217548680114216","0.9111389236545681","0.9353233830845771","91","91","91","0.9253752429222516","0.9111111111111111","0.937810945273632","91","91","91","0.9451643717810111","0.9225092250922511","0.9646464646464646"
"4512","93","93","93","0.9371984134729804","0.9297163995067818","0.9488139825218478","93","93","93","0.9260133947290413","0.9209535759096613","0.9416149068322981","93","93","93","0.9331339431301371","0.9242053789731051","0.9552238805970149","93","93","93","0.9404478630030255","0.9320148331273177","0.9540372670807453","93","93","93","0.9370741022862873","0.9257425742574257","0.949748743718593","93","93","93","0.928445933719321","0.9167701863354037","0.94","93","93","93","0.9233905790355103","0.9095354523227382","0.937810945273632","93","93","93","0.9480768748091883","0.9405815423514539","0.9620253164556962"
"4608","95","95","95","0.9377070622553463","0.9259723964868257","0.9469790382244143","95","95","95","0.9250126283905994","0.9153374233128834","0.945409429280397","95","95","95","0.9372981896679106","0.9236545682102627","0.9611041405269761","95","95","95","0.9352449703388152","0.9234629861982434","0.9486858573216519","95","95","95","0.9397789849549143","0.9251870324189527","0.9598997493734336","95","95","95","0.927175320950985","0.9106699751861043","0.9498746867167919","95","95","95","0.9225625043213828","0.9063670411985019","0.9316770186335404","95","95","95","0.9457175417745383","0.9331651954602774","0.9672544080604534"
"4704","97","97","97","0.9399349695911698","0.929471032745592","0.949748743718593","97","97","97","0.931722930963406","0.9168765743073048","0.946450809464508","97","97","97","0.9344297702259846","0.9203980099502488","0.9598997493734336","97","97","97","0.9384945778020158","0.9211514392991239","0.9600997506234414","97","97","97","0.9389892309054109","0.9276073619631902","0.9609079445145018","97","97","97","0.9228552716536861","0.9104294478527607","0.9325","97","97","97","0.9235405816944591","0.9070904645476773","0.9388264669163546","97","97","97","0.950270739893013","0.9442379182156135","0.964735516372796"
"4800","99","99","99","0.9381599910262434","0.9345088161209069","0.9447236180904522","99","99","99","0.9262843608082786","0.914572864321608","0.945273631840796","99","99","99","0.9371525256567393","0.9192546583850932","0.9635220125786164","99","99","99","0.9378143232109404","0.924812030075188","0.9451371571072318","99","99","99","0.9389212831480214","0.924223602484472","0.9611041405269761","99","99","99","0.9234185505355459","0.9079754601226994","0.9376558603491272","99","99","99","0.9265536481040912","0.9135200974421438","0.9353233830845771","99","99","99","0.9477678553011186","0.9416149068322981","0.9571788413098236"
"4896","101","101","101","0.9366671276210583","0.9296482412060302","0.9473684210526316","101","101","101","0.9304429959938048","0.9213759213759214","0.9426433915211971","101","101","101","0.9388534613216459","0.9236545682102627","0.958801498127341","101","101","101","0.9369112216791434","0.924812030075188","0.9463171036204745","101","101","101","0.939731564667088","0.924812030075188","0.9611041405269761","101","101","101","0.9239125755037655","0.9125","0.9385194479297366","101","101","101","0.9251934153540174","0.9072681704260652","0.9377382465057178","101","101","101","0.9498872294795507","0.9416149068322981","0.9646464646464646"
"4992","103","103","103","0.940259791132827","0.9331683168316831","0.9498746867167919","103","103","103","0.9252777107258063","0.9166666666666666","0.9356435643564357","103","103","103","0.9411016084606002","0.9289215686274509","0.9649122807017544","103","103","103","0.9380270801334977","0.9308176100628931","0.9416149068322982","103","103","103","0.937416600234449","0.9266503667481663","0.9514321295143213","103","103","103","0.9311387949555628","0.9191176470588235","0.9401496259351622","103","103","103","0.9284941098410323","0.9146341463414634","0.9366459627329192","103","103","103","0.9514315798566269","0.9448621553884713","0.9683944374209861"
"5088","105","105","105","0.9401460725538385","0.9334975369458127","0.9451371571072318","105","105","105","0.9309923461118628","0.9223057644110276","0.9502487562189056","105","105","105","0.9340992304953675","0.9215442092154421","0.9612983770287142","105","105","105","0.9350292864403119","0.9255989911727616","0.9536921151439299","105","105","105","0.9406198221797256","0.9255583126550867","0.9597989949748744","105","105","105","0.9271300392723573","0.916256157635468","0.9451371571072318","105","105","105","0.9285845876630846","0.9164619164619164","0.9416149068322981","105","105","105","0.9496967767653943","0.9379652605459058","0.9698492462311558"
"5184","107","107","107","0.9420364246597434","0.9282178217821783","0.9486858573216519","107","107","107","0.9291384443192919","0.9166666666666666","0.946583850931677","107","107","107","0.9390730859785498","0.9230769230769231","0.9674185463659147","107","107","107","0.9385594870805717","0.9334975369458127","0.9523809523809523","107","107","107","0.9374219563778056","0.9213759213759215","0.9561952440550688","107","107","107","0.930203164753666","0.9144254278728606","0.9402985074626866","107","107","107","0.926181299587021","0.904109589041096","0.9390862944162437","107","107","107","0.9484934056590474","0.9371146732429101","0.9699248120300752"
"5280","109","109","109","0.9383268962496493","0.9324840764331209","0.9436795994993743","109","109","109","0.9283732152975228","0.9153374233128836","0.9440993788819877","109","109","109","0.9392499990168167","0.9217391304347826","0.9636135508155583","109","109","109","0.9407075300734633","0.9353233830845771","0.9473684210526316","109","109","109","0.9446284939366046","0.9367088607594937","0.9573934837092732","109","109","109","0.9285728051080795","0.9129353233830846","0.9426433915211971","109","109","109","0.9285567630338433","0.9102244389027431","0.9392812887236679","109","109","109","0.9503300559840513","0.9447236180904522","0.9612015018773465"
"5376","111","111","111","0.9412999090769393","0.9358024691358026","0.9488139825218478","111","111","111","0.9312377939130455","0.9213483146067415","0.946583850931677","111","111","111","0.9394771608245666","0.9266503667481663","0.9612983770287142","111","111","111","0.9377430629922732","0.9331683168316831","0.9426433915211971","111","111","111","0.9412706895321212","0.934487021013597","0.9552238805970149","111","111","111","0.9261650582572685","0.9066002490660026","0.9536921151439299","111","111","111","0.9270549104341728","0.9102244389027431","0.9440993788819877","111","111","111","0.9520765225147241","0.9435897435897437","0.9723618090452262"
"5472","113","113","113","0.9380136061186237","0.9293680297397771","0.951188986232791","113","113","113","0.9296454609770981","0.9164619164619164","0.9477611940298507","113","113","113","0.9336216934330709","0.9066002490660026","0.964824120603015","113","113","113","0.9361626073574232","0.924812030075188","0.95","113","113","113","0.9411116317307281","0.9295426452410384","0.958594730238394","113","113","113","0.9281637308771915","0.912718204488778","0.951310861423221","113","113","113","0.926049559071304","0.9021065675340767","0.9440993788819877","113","113","113","0.9520773925747028","0.9454094292803972","0.964735516372796"
"5568","115","115","115","0.9383211122521999","0.9234567901234567","0.9475","115","115","115","0.9315139381069051","0.9200492004920048","0.9538077403245941","115","115","115","0.9383102674664572","0.9240348692403487","0.9610062893081761","115","115","115","0.9376455243604885","0.9296482412060302","0.9461827284105131","115","115","115","0.9424345162948752","0.9295426452410384","0.9573934837092732","115","115","115","0.9307255301299013","0.918648310387985","0.951188986232791","115","115","115","0.9288549465657505","0.9090909090909091","0.9440993788819877","115","115","115","0.9472549710951366","0.9363295880149815","0.9672544080604534"
"5664","117","117","117","0.9415171819313539","0.9333333333333333","0.9525","117","117","117","0.9269671056978087","0.9164619164619164","0.946583850931677","117","117","117","0.9379731313073376","0.9275","0.9563046192259675","117","117","117","0.937661066389888","0.9104477611940298","0.9476309226932669","117","117","117","0.9390465191740116","0.917705735660848","0.9501246882793017","117","117","117","0.928202506283626","0.9066339066339066","0.9584905660377357","117","117","117","0.9272867946847523","0.9115479115479117","0.946450809464508","117","117","117","0.9470926926453078","0.9389312977099236","0.9610062893081761"
"5760","119","119","119","0.9368283208309162","0.9305210918114145","0.9442379182156135","119","119","119","0.9328489529556215","0.9195979899497488","0.9514321295143213","119","119","119","0.9330548579466097","0.9125","0.958594730238394","119","119","119","0.9407905041194752","0.9284818067754077","0.9515527950310558","119","119","119","0.941919263391138","0.927860696517413","0.9561952440550688","119","119","119","0.9272182659202706","0.9099876695437731","0.9426433915211971","119","119","119","0.92679014259882","0.9104477611940298","0.945273631840796","119","119","119","0.9494865259295278","0.9432098765432099","0.9671717171717171"
"5856","121","121","121","0.9370899038315775","0.9293680297397771","0.949238578680203","121","121","121","0.9343946157497831","0.9211514392991239","0.9451371571072318","121","121","121","0.9354971778467551","0.9144981412639406","0.9573934837092732","121","121","121","0.9378448710588174","0.9267080745341615","0.9501246882793017","121","121","121","0.943941870250072","0.9339975093399752","0.955","121","121","121","0.9314544899504945","0.916256157635468","0.9408805031446541","121","121","121","0.9292712210196499","0.916256157635468","0.9425","121","121","121","0.9487034231934469","0.9345088161209069","0.958594730238394"
"5952","123","123","123","0.9415040048011646","0.9320148331273177","0.9481481481481482","123","123","123","0.9321522823331527","0.9207547169811321","0.9514321295143213","123","123","123","0.935838852321184","0.9197994987468672","0.957286432160804","123","123","123","0.9361005149603147","0.9284818067754077","0.9417721518987343","123","123","123","0.9406582898869512","0.9286608260325407","0.9560853199498118","123","123","123","0.9293181798368243","0.9166666666666667","0.9410288582183186","123","123","123","0.9285977682280679","0.9118012422360248","0.9475","123","123","123","0.9522885360525869","0.9445843828715367","0.9593908629441623"
"6048","125","125","125","0.9422603118312944","0.9321824907521579","0.9475","125","125","125","0.9342228074036745","0.9249692496924969","0.9502487562189056","125","125","125","0.935539060468401","0.9205955334987593","0.951310861423221","125","125","125","0.9410566229705424","0.9288389513108615","0.9523809523809523","125","125","125","0.9433812142662626","0.9359605911330049","0.9548872180451128","125","125","125","0.9304316078270345","0.9119804400977994","0.9510664993726474","125","125","125","0.9298340760400243","0.9138576779026217","0.9463171036204745","125","125","125","0.9538748700979793","0.9408805031446541","0.9646464646464646"
"6144","127","127","127","0.9380399876128613","0.9338327091136079","0.9404466501240694","127","127","127","0.9307409002248654","0.916145181476846","0.9438202247191011","127","127","127","0.9330110993672374","0.9054726368159204","0.9522613065326633","127","127","127","0.9413381484972764","0.9207547169811321","0.96","127","127","127","0.9386261375630983","0.9296482412060302","0.9548872180451128","127","127","127","0.9259040021379613","0.9088639200998753","0.9445843828715367","127","127","127","0.9273952099289433","0.916256157635468","0.9385194479297366","127","127","127","0.9535514337528316","0.9457755359394704","0.9634300126103404"
"6240","129","129","129","0.9377691520016347","0.9245982694684796","0.9506172839506173","129","129","129","0.9364817841560511","0.9251870324189526","0.9526184538653367","129","129","129","0.9360884767456028","0.915211970074813","0.9559748427672956","129","129","129","0.9391469172966211","0.9293680297397771","0.9486858573216519","129","129","129","0.939296994112126","0.9234629861982434","0.9536921151439299","129","129","129","0.9281034821779166","0.9066002490660026","0.9484276729559749","129","129","129","0.9284942275085667","0.9140722291407224","0.9425","129","129","129","0.9520176065581815","0.9417721518987343","0.9609079445145018"
"6336","131","131","131","0.9417661977297497","0.9336670838548186","0.95","131","131","131","0.9335525598373786","0.9259723964868256","0.9489414694894147","131","131","131","0.9328361278634384","0.9136420525657072","0.9546599496221662","131","131","131","0.9372575743311256","0.9219143576826196","0.9476309226932669","131","131","131","0.9409739647400237","0.9314720812182741","0.951188986232791","131","131","131","0.9267325909137748","0.9056603773584906","0.9496221662468514","131","131","131","0.9271567350353861","0.9097744360902256","0.9401496259351622","131","131","131","0.9509812371604541","0.9420654911838791","0.9567430025445292"
"6432","133","133","133","0.9434390232458221","0.9320148331273177","0.9557739557739556","133","133","133","0.9300835314380536","0.9246231155778895","0.9451371571072318","133","133","133","0.9368270718008948","0.9203980099502488","0.9634300126103404","133","133","133","0.9342403645769805","0.9134253450439146","0.9469790382244143","133","133","133","0.9392568150675402","0.9320148331273178","0.950943396226415","133","133","133","0.9245606332652248","0.9138576779026217","0.9473684210526316","133","133","133","0.9271591300176588","0.9125","0.9401496259351622","133","133","133","0.9509145105908257","0.9433962264150944","0.9633375474083439"
"6528","135","135","135","0.9442515311981111","0.9407407407407408","0.9464285714285714","135","135","135","0.9362658788070508","0.9271356783919599","0.951310861423221","135","135","135","0.9364254284746061","0.9201995012468827","0.9611041405269761","135","135","135","0.9391129707856433","0.9308176100628931","0.9525","135","135","135","0.9392385666531131","0.9265255292652553","0.9525","135","135","135","0.9249601133331767","0.9020100502512562","0.9448621553884713","135","135","135","0.928991137382644","0.9113607990012486","0.9414694894146949","135","135","135","0.9491858346819633","0.9331651954602774","0.964735516372796"
"6624","137","137","137","0.9455959983552924","0.9369592088998765","0.9555555555555556","137","137","137","0.9367111366088332","0.93","0.951310861423221","137","137","137","0.9369402151025584","0.9255189255189255","0.9623115577889447","137","137","137","0.9398422656664887","0.924223602484472","0.951188986232791","137","137","137","0.9388925261784047","0.9323493234932348","0.957286432160804","137","137","137","0.9262327664968073","0.9090909090909091","0.950943396226415","137","137","137","0.9272031588771139","0.9125","0.9389788293897883","137","137","137","0.9503019089874023","0.9411764705882354","0.9634300126103404"
"6720","139","139","139","0.9450627270534774","0.9368029739776952","0.952970297029703","139","139","139","0.9353732789041823","0.9273182957393483","0.946583850931677","139","139","139","0.9378795288346788","0.925","0.9563046192259675","139","139","139","0.9389347414737816","0.9309912170639899","0.9476309226932669","139","139","139","0.9401302751735212","0.9348370927318297","0.9514321295143213","139","139","139","0.9286542639278773","0.905","0.9547738693467337","139","139","139","0.9280309306466066","0.9136420525657072","0.9414694894146949","139","139","139","0.9514621036849947","0.9383647798742139","0.9646464646464646"
"6816","141","141","141","0.9433398638592326","0.9344870210135972","0.9548872180451128","141","141","141","0.9391827525015941","0.9323308270676692","0.9489414694894147","141","141","141","0.9394535103772","0.9263420724094882","0.9597989949748744","141","141","141","0.9409859327839729","0.9283018867924528","0.9538077403245941","141","141","141","0.9391474733969328","0.9257425742574257","0.9463171036204745","141","141","141","0.9298349396244052","0.9128834355828221","0.9472361809045227","141","141","141","0.9304086931338194","0.917705735660848","0.9414694894146949","141","141","141","0.9522829228285691","0.9333333333333332","0.9646464646464646"
"6912","143","143","143","0.9404792339712122","0.935687263556116","0.9461827284105131","143","143","143","0.9360139558940492","0.9246231155778896","0.951310861423221","143","143","143","0.9362806839376642","0.9238451935081149","0.9597989949748744","143","143","143","0.9409286060991494","0.9261576971214018","0.9477707006369427","143","143","143","0.9394557464861052","0.9305210918114144","0.9475","143","143","143","0.9252417831471101","0.9102244389027431","0.9473684210526316","143","143","143","0.926928221929496","0.9102244389027431","0.9376558603491272","143","143","143","0.9552811069656088","0.9450000000000001","0.9646464646464646"
"7008","145","145","145","0.9406803651542626","0.9358490566037736","0.9519112207151664","145","145","145","0.93508004745225","0.9219143576826196","0.951310861423221","145","145","145","0.9364789081981926","0.9188514357053683","0.9586983729662076","145","145","145","0.9407633055348594","0.9261576971214018","0.9469790382244143","145","145","145","0.9414572862488779","0.9349693251533743","0.9486858573216519","145","145","145","0.9265070308807527","0.9016189290161893","0.9472361809045227","145","145","145","0.9290375502503659","0.9113607990012486","0.9414694894146949","145","145","145","0.9523302605396908","0.945273631840796","0.9584905660377357"
"7104","147","147","147","0.9404324337377332","0.9321608040201005","0.9486858573216519","147","147","147","0.9358029409598337","0.9306431273644388","0.9488139825218478","147","147","147","0.937836451160754","0.9273182957393483","0.9573934837092732","147","147","147","0.9406779954712196","0.9333333333333332","0.9461827284105131","147","147","147","0.9429120048333969","0.9385749385749386","0.9546599496221662","147","147","147","0.9272436682085742","0.912280701754386","0.9448621553884713","147","147","147","0.9289545018298977","0.9136420525657072","0.9389788293897883","147","147","147","0.9525306105792621","0.9445843828715367","0.9596977329974811"
"7200","149","149","149","0.9444097247245645","0.9387755102040817","0.9536921151439299","149","149","149","0.9389935853648304","0.9284818067754077","0.9488139825218478","149","149","149","0.9374024801703872","0.9269521410579346","0.9573934837092732","149","149","149","0.9404775792066186","0.9321608040201005","0.9455445544554455","149","149","149","0.9422051820651234","0.9315068493150684","0.9488139825218478","149","149","149","0.927720155564904","0.9029850746268657","0.9473684210526316","149","149","149","0.9277554796017355","0.9136420525657072","0.9402985074626866","149","149","149","0.9502025552702532","0.9329962073324906","0.962121212121212"
"7296","151","151","151","0.9421959645435896","0.937420178799489","0.9494451294697903","151","151","151","0.9357943878587435","0.9234629861982434","0.9477611940298507","151","151","151","0.938030242773198","0.9286608260325407","0.9586983729662076","151","151","151","0.9394750885931991","0.9223057644110277","0.9465648854961832","151","151","151","0.9407326009341823","0.9325","0.9488139825218478","151","151","151","0.9264573496015253","0.9063670411985019","0.9461827284105131","151","151","151","0.9286050332622275","0.9129353233830846","0.9402985074626866","151","151","151","0.9495047044031573","0.9296482412060302","0.962121212121212"
"7392","153","153","153","0.942135727655716","0.9346733668341709","0.9484276729559749","153","153","153","0.9384943994656822","0.9321608040201005","0.9536921151439299","153","153","153","0.9367095655062965","0.9175","0.958594730238394","153","153","153","0.9356215324848062","0.9217171717171717","0.9416243654822335","153","153","153","0.9426478113418562","0.9359605911330049","0.951310861423221","153","153","153","0.926006595167552","0.9025","0.949748743718593","153","153","153","0.9266685993689479","0.9149999999999999","0.9401496259351622","153","153","153","0.9524427990133535","0.9398496240601504","0.962121212121212"
"7488","155","155","155","0.942431395261862","0.9306930693069307","0.9532019704433499","155","155","155","0.9358401207440903","0.9296482412060302","0.946583850931677","155","155","155","0.9379178954242976","0.9253731343283583","0.9612015018773465","155","155","155","0.938988118230206","0.9284818067754077","0.949238578680203","155","155","155","0.9400546571514209","0.9343246592317225","0.951310861423221","155","155","155","0.928287442264842","0.9102244389027431","0.9510664993726474","155","155","155","0.9277966109961924","0.9140722291407224","0.9413233458177278","155","155","155","0.9480621999636366","0.9367088607594937","0.9646464646464646"
"7584","157","157","157","0.9410196822575403","0.9308176100628931","0.95","157","157","157","0.9360830499752014","0.9308641975308642","0.9442379182156134","157","157","157","0.9394569737483554","0.9251533742331289","0.9623115577889447","157","157","157","0.9438721794230291","0.9325","0.958801498127341","157","157","157","0.9397027483793542","0.9304677623261693","0.9523809523809523","157","157","157","0.92639701633488","0.9079754601226994","0.9473684210526316","157","157","157","0.9284352738524392","0.9154228855721394","0.9365482233502538","157","157","157","0.9508078221385095","0.9383647798742139","0.9671717171717171"
"7680","159","159","159","0.940829630230373","0.9320148331273177","0.9488139825218478","159","159","159","0.9374172387579094","0.932349323493235","0.9477611940298507","159","159","159","0.9355884796716503","0.9219330855018587","0.9612015018773465","159","159","159","0.9362650887778579","0.9311639549436797","0.9413233458177278","159","159","159","0.9390473983006414","0.9259259259259259","0.9547738693467337","159","159","159","0.9276235271042312","0.9068627450980392","0.9453621346886911","159","159","159","0.9261637137928938","0.9140722291407224","0.9341614906832298","159","159","159","0.9501000167092807","0.9414694894146949","0.9671717171717171"
"7776","161","161","161","0.9435922021650874","0.9344870210135972","0.95","161","161","161","0.9361994352900647","0.9298245614035087","0.945409429280397","161","161","161","0.9359452763000619","0.9172932330827068","0.9576059850374065","161","161","161","0.9382448395649507","0.9283018867924528","0.9455445544554455","161","161","161","0.939473056303641","0.9234567901234568","0.9522613065326633","161","161","161","0.9281272307164878","0.9068627450980392","0.9453621346886911","161","161","161","0.9269033934574334","0.9090909090909091","0.9391304347826087","161","161","161","0.951506821668799","0.9435382685069008","0.9671717171717171"
"7872","163","163","163","0.9417317673372299","0.9331683168316831","0.9523809523809523","163","163","163","0.9356429357961851","0.9271356783919599","0.9477611940298507","163","163","163","0.9333791264945767","0.9175","0.9575","163","163","163","0.9431043919394426","0.9370277078085643","0.9490683229813665","163","163","163","0.9402502442180349","0.928395061728395","0.9475","163","163","163","0.9267285850463681","0.9097744360902256","0.9498746867167919","163","163","163","0.9297068365882961","0.9149999999999999","0.937810945273632","163","163","163","0.95076136521763","0.9413265306122449","0.962121212121212"
"7968","165","165","165","0.9414447488138558","0.9295426452410381","0.9519112207151664","165","165","165","0.9365573133931239","0.9295426452410381","0.9477611940298507","165","165","165","0.9367494763929975","0.9223057644110277","0.958801498127341","165","165","165","0.937122700783158","0.9269521410579346","0.9478908188585606","165","165","165","0.94061181740498","0.9351620947630923","0.9485570890840652","165","165","165","0.9289163637480387","0.9125","0.9522613065326633","165","165","165","0.9300611885056241","0.9138576779026217","0.937810945273632","165","165","165","0.9523482915313997","0.9404466501240694","0.965952080706179"
"8064","167","167","167","0.9427657699170062","0.9333333333333333","0.952029520295203","167","167","167","0.9371235062453003","0.9296482412060302","0.9514321295143213","167","167","167","0.9379475156975549","0.9234629861982434","0.96","167","167","167","0.9413629824938704","0.9284818067754077","0.9523809523809523","167","167","167","0.9414534585738952","0.9353233830845771","0.9510664993726474","167","167","167","0.9259370068457893","0.9068627450980392","0.9522613065326633","167","167","167","0.9285843786300989","0.917705735660848","0.9366459627329192","167","167","167","0.951526510440452","0.9439601494396015","0.962121212121212"
