"train/global_step","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/overall_f1","Group: pt-pl50 - eval/overall_f1__MIN","Group: pt-pl50 - eval/overall_f1__MAX","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/overall_f1","Group: seq_bn-rf64 - eval/overall_f1__MIN","Group: seq_bn-rf64 - eval/overall_f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/overall_f1","Group: seq_bn-rf16 - eval/overall_f1__MIN","Group: seq_bn-rf16 - eval/overall_f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/overall_f1","Group: pt-pl5 - eval/overall_f1__MIN","Group: pt-pl5 - eval/overall_f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/overall_f1","Group: unipelt - eval/overall_f1__MIN","Group: unipelt - eval/overall_f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/overall_f1","Group: lora-r16 - eval/overall_f1__MIN","Group: lora-r16 - eval/overall_f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/overall_f1","Group: lora-r8 - eval/overall_f1__MIN","Group: lora-r8 - eval/overall_f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/overall_f1","Group: baseline - eval/overall_f1__MIN","Group: baseline - eval/overall_f1__MAX"
"1056","21","21","21","0.9408663663876011","0.9300613496932515","0.9563046192259675","21","21","21","0.855533922694876","0.8359659781287971","0.8647990255785628","21","21","21","0.9095086890499839","0.9027431421446384","0.9213759213759215","21","21","21","0.9237622632213945","0.8968152866242037","0.946450809464508","21","21","21","0.9369385221223407","0.9267080745341615","0.9460476787954831","21","21","21","0.8916229729765845","0.8727272727272727","0.9149198520345253","21","21","21","0.8660376350791277","0.860215053763441","0.8728179551122195","21","21","21","0.9421779516597061","0.9330024813895781","0.9521410579345088"
"1152","23","23","23","0.9360819311015426","0.9292929292929293","0.950943396226415","23","23","23","0.8610414756924148","0.8519417475728155","0.8681983071342201","23","23","23","0.9157159637118548","0.9030674846625767","0.928395061728395","23","23","23","0.9268066014303699","0.9138576779026217","0.9392812887236679","23","23","23","0.9303052934065617","0.9215442092154421","0.949748743718593","23","23","23","0.8999296510543404","0.879330943847073","0.9137931034482758","23","23","23","0.8785376749388819","0.8703923900118906","0.892156862745098","23","23","23","0.944811710829832","0.9330024813895781","0.9611041405269761"
"1248","25","25","25","0.9351424357050115","0.9257861635220125","0.9551122194513715","25","25","25","0.8807344031011908","0.8670807453416148","0.8899755501222494","25","25","25","0.9186611984705321","0.9043478260869565","0.9425","25","25","25","0.9271945150108889","0.9133089133089134","0.9538077403245941","25","25","25","0.9347534804480787","0.9171817058096415","0.9536921151439299","25","25","25","0.9077295050926051","0.8995098039215687","0.9142857142857144","25","25","25","0.8878877388716051","0.8758949880668259","0.9003690036900369","25","25","25","0.949389495908405","0.9439601494396015","0.9598997493734336"
"1344","27","27","27","0.9346549510536157","0.927860696517413","0.9425","27","27","27","0.8749824249687757","0.8493150684931507","0.8894348894348895","27","27","27","0.9126310130130623","0.9060913705583755","0.9267080745341615","27","27","27","0.9322535989805367","0.9273885350318473","0.9439601494396015","27","27","27","0.9229969644490174","0.9048207663782447","0.9525","27","27","27","0.9046368285504762","0.8965517241379312","0.9131513647642681","27","27","27","0.8989852779878313","0.8937728937728937","0.9093167701863355","27","27","27","0.9441419658637411","0.9364881693648817","0.9623115577889447"
"1440","29","29","29","0.9395683068238924","0.9323308270676693","0.9501246882793017","29","29","29","0.8879575958751106","0.880893300248139","0.8957055214723927","29","29","29","0.9249539939836623","0.9183168316831684","0.9402985074626866","29","29","29","0.9293639615396307","0.9164556962025318","0.9514321295143213","29","29","29","0.9414803240351498","0.9349999999999999","0.9514321295143213","29","29","29","0.9079102551814543","0.8968824940047962","0.918444165621079","29","29","29","0.8944427594396386","0.8841099163679809","0.9022004889975549","29","29","29","0.9383082600229949","0.9245982694684796","0.9546599496221662"
"1536","31","31","31","0.9331953983283274","0.9281210592686003","0.9427860696517413","31","31","31","0.8845012375505286","0.8757687576875769","0.8899755501222494","31","31","31","0.9209249111349365","0.9093167701863355","0.9326805385556914","31","31","31","0.9282496759272186","0.9225","0.94","31","31","31","0.9370034834100652","0.9234567901234567","0.95","31","31","31","0.9044520806562382","0.8948004836759371","0.9104294478527607","31","31","31","0.8987429262036748","0.8875739644970415","0.9079754601226994","31","31","31","0.9358374049909388","0.919454770755886","0.9506953223767383"
"1632","33","33","33","0.9381699244104116","0.9309912170639899","0.946583850931677","33","33","33","0.8926415707358778","0.8894409937888199","0.8958837772397095","33","33","33","0.9258178698999553","0.9120198265179678","0.9489414694894147","33","33","33","0.9333949222491296","0.9270704573547589","0.9414694894146949","33","33","33","0.934406092760302","0.9265255292652553","0.945273631840796","33","33","33","0.9148418699262677","0.9082125603864735","0.9213483146067416","33","33","33","0.9078674744910057","0.9020556227327691","0.9163545568039951","33","33","33","0.9464265527441423","0.9379652605459058","0.964824120603015"
"1728","35","35","35","0.9337903366612261","0.9120603015075377","0.951188986232791","35","35","35","0.8960304162376556","0.8728179551122195","0.9086419753086421","35","35","35","0.9279419708895382","0.9142857142857144","0.946450809464508","35","35","35","0.926811171335812","0.9024081115335868","0.9527363184079602","35","35","35","0.9338420227795273","0.9160493827160494","0.951310861423221","35","35","35","0.9125306423874834","0.9009900990099009","0.9189873417721519","35","35","35","0.9101058831416431","0.9031476997578692","0.9147095179233623","35","35","35","0.9396105012638266","0.929889298892989","0.950943396226415"
"1824","37","37","37","0.9324839796054206","0.9240506329113924","0.9435382685069008","37","37","37","0.9010106272551408","0.8830845771144279","0.9169764560099132","37","37","37","0.9286963461824322","0.915211970074813","0.9536921151439299","37","37","37","0.9348235447585154","0.9090909090909092","0.9447236180904522","37","37","37","0.9341186234246208","0.9158415841584158","0.951310861423221","37","37","37","0.9138261280437657","0.9044117647058824","0.9240348692403487","37","37","37","0.9067326024936685","0.9012048192771085","0.9120603015075376","37","37","37","0.9377780103939648","0.929889298892989","0.9508196721311476"
"1920","39","39","39","0.9277153257720672","0.9008782936010038","0.9366459627329192","39","39","39","0.9007511356812307","0.8880597014925373","0.9147095179233623","39","39","39","0.9248176141118126","0.9093167701863355","0.9338235294117648","39","39","39","0.9338082699609377","0.9088639200998752","0.9478908188585606","39","39","39","0.935016943418917","0.9238451935081149","0.9501246882793017","39","39","39","0.915599008937102","0.9093137254901961","0.9210206561360874","39","39","39","0.9056405644506347","0.8912783751493429","0.9132075471698112","39","39","39","0.9423695700899517","0.9280397022332506","0.9610062893081761"
"2016","41","41","41","0.9294559744729659","0.916030534351145","0.9411764705882354","41","41","41","0.902753160137767","0.8943488943488943","0.914004914004914","41","41","41","0.9265309246643479","0.9062119366626066","0.9368029739776953","41","41","41","0.9357299130492063","0.9254108723135271","0.9463171036204745","41","41","41","0.9340195823886545","0.9221260815822002","0.9478908188585609","41","41","41","0.9131942771515404","0.9066002490660026","0.9221260815822002","41","41","41","0.9057418732933182","0.8955582232893157","0.9155446756425949","41","41","41","0.9450703435520458","0.9338327091136079","0.964735516372796"
"2112","43","43","43","0.9318198478107135","0.9164619164619164","0.9435382685069008","43","43","43","0.9101517879140328","0.8897149938042132","0.9232673267326732","43","43","43","0.9297218197391774","0.9244114002478315","0.9443757725587145","43","43","43","0.9381286678010694","0.924433249370277","0.9473684210526316","43","43","43","0.9394720963938743","0.9232673267326732","0.9501246882793017","43","43","43","0.9131066142054113","0.8921212121212122","0.9213483146067415","43","43","43","0.9057417666440652","0.9018181818181819","0.9164619164619165","43","43","43","0.9408824733326474","0.9331651954602775","0.9586983729662076"
"2208","45","45","45","0.9351806047958254","0.9247842170160295","0.9416149068322981","45","45","45","0.9127935714546938","0.9","0.9267080745341615","45","45","45","0.9276491029280269","0.9047619047619048","0.9489414694894147","45","45","45","0.9301889827127023","0.916243654822335","0.9551122194513715","45","45","45","0.9389361926742337","0.9313725490196078","0.9523809523809523","45","45","45","0.9174215743179952","0.9054726368159204","0.9276807980049875","45","45","45","0.9090552076502796","0.902676399026764","0.9168765743073048","45","45","45","0.9408947601000925","0.927860696517413","0.9559748427672956"
"2304","47","47","47","0.9336308127025091","0.9213759213759214","0.9389788293897883","47","47","47","0.9061319658711234","0.8905472636815919","0.919454770755886","47","47","47","0.9313840658388004","0.9159561510353228","0.9461827284105131","47","47","47","0.9394870973805745","0.9257861635220126","0.9536921151439299","47","47","47","0.9396403838729375","0.9205955334987593","0.9521410579345088","47","47","47","0.9128804708323015","0.9066339066339066","0.9232704402515725","47","47","47","0.9085995798169713","0.8985507246376813","0.92","47","47","47","0.9447254217490515","0.9306930693069307","0.962121212121212"
"2400","49","49","49","0.9360602360042491","0.9306930693069307","0.9473684210526316","49","49","49","0.9098348053406052","0.8941469489414694","0.9290161892901618","49","49","49","0.9288060190178179","0.9120198265179678","0.9527363184079602","49","49","49","0.9289241491943325","0.9127686472819216","0.94","49","49","49","0.9414537796161264","0.9251533742331289","0.9548872180451128","49","49","49","0.9140242275226822","0.9075000000000001","0.9238451935081149","49","49","49","0.9129026756745201","0.9007263922518159","0.9230769230769231","49","49","49","0.9438641793775986","0.9273182957393483","0.9525"
